"C1"	"C2"	"C3"	"IR1"	"IR2"	"IR3"
"ENSG00000008294"	0	0	0	1	0	0
"ENSG00000008324"	0	0	0	1	0	0
"ENSG00000008394"	0	0	0	0	1	0
"ENSG00000008438"	0	0	0	0	0	1
"ENSG00000008516"	0	0	0	1	0	0
"ENSG00000008517"	1	2	3	0	0	1
"ENSG00000008838"	0	0	1	1	0	0
"ENSG00000008952"	0	0	0	2	0	0
"ENSG00000008988"	13	13	15	10	13	16
"ENSG00000009307"	1	0	0	0	0	0
"ENSG00000009694"	0	1	0	0	0	0
"ENSG00000009790"	0	0	0	0	0	1
"ENSG00000009844"	0	1	0	0	0	0
"ENSG00000010165"	1	0	0	0	0	0
"ENSG00000010244"	1	0	0	0	0	1
"ENSG00000010256"	0	0	1	0	0	0
"ENSG00000010270"	0	0	0	0	1	0
"ENSG00000010278"	0	1	0	0	2	0
"ENSG00000010322"	0	0	1	0	0	0
"ENSG00000010327"	0	0	0	0	1	0
"ENSG00000010404"	0	0	1	0	0	1
"ENSG00000010610"	0	1	0	0	1	0
"ENSG00000010626"	0	0	1	0	0	0
"ENSG00000010671"	0	1	0	0	1	0
"ENSG00000010810"	0	0	0	0	1	0
"ENSG00000011007"	0	0	1	0	0	0
"ENSG00000011009"	2	0	0	0	0	0
"ENSG00000011052"	0	0	1	0	3	1
"ENSG00000011260"	0	0	1	0	0	0
"ENSG00000011304"	0	1	1	0	0	0
"ENSG00000011422"	0	0	0	0	0	1
"ENSG00000011454"	0	0	1	0	0	0
"ENSG00000011523"	0	0	1	0	0	0
"ENSG00000011600"	5	3	8	4	0	5
"ENSG00000012061"	0	0	1	0	0	0
"ENSG00000012223"	0	0	0	0	0	1
"ENSG00000012660"	0	1	0	0	0	0
"ENSG00000012779"	0	0	0	1	0	0
"ENSG00000012822"	0	0	0	0	1	2
"ENSG00000013288"	0	1	0	1	0	0
"ENSG00000013306"	1	0	0	0	0	0
"ENSG00000013364"	1	1	0	0	0	1
"ENSG00000013374"	0	0	3	0	0	1
"ENSG00000013441"	0	0	0	1	1	1
"ENSG00000013725"	1	0	0	0	2	0
"ENSG00000014164"	0	0	0	1	0	0
"ENSG00000014641"	0	0	2	0	0	1
"ENSG00000015133"	1	0	0	0	0	0
"ENSG00000015285"	0	0	0	0	0	1
"ENSG00000015475"	0	2	0	1	0	0
"ENSG00000015479"	1	0	0	0	0	1
"ENSG00000015676"	0	0	0	1	0	0
"ENSG00000017260"	0	0	1	0	0	0
"ENSG00000017483"	0	1	0	0	0	0
"ENSG00000018280"	0	0	1	0	0	0
"ENSG00000018510"	1	0	0	0	1	1
"ENSG00000019582"	13	13	15	10	15	14
"ENSG00000019991"	0	0	0	0	0	1
"ENSG00000021300"	0	0	1	0	0	1
"ENSG00000021355"	2	1	0	1	1	1
"ENSG00000022840"	0	0	1	0	0	0
"ENSG00000023191"	1	0	0	0	0	0
"ENSG00000023287"	0	0	0	1	1	0
"ENSG00000023516"	1	0	1	0	0	0
"ENSG00000023734"	1	0	0	1	0	0
"ENSG00000023902"	2	1	0	0	1	1
"ENSG00000025770"	0	2	1	0	0	1
"ENSG00000025796"	0	0	0	0	1	0
"ENSG00000026025"	1	1	5	3	3	2
"ENSG00000026103"	0	0	0	0	0	1
"ENSG00000026297"	2	0	0	1	0	0
"ENSG00000026508"	0	1	1	3	0	0
"ENSG00000026751"	0	0	0	0	1	0
"ENSG00000026950"	0	2	0	1	0	1
"ENSG00000027697"	0	0	0	0	1	1
"ENSG00000027847"	1	0	0	0	0	1
"ENSG00000028116"	0	0	0	1	0	0
"ENSG00000028137"	3	0	0	0	0	0
"ENSG00000028839"	0	0	0	0	1	0
"ENSG00000030582"	1	1	3	2	1	0
"ENSG00000031698"	0	0	0	1	0	1
"ENSG00000032389"	0	1	0	0	0	0
"ENSG00000033011"	0	0	0	0	0	1
"ENSG00000033050"	0	2	0	0	0	0
"ENSG00000033178"	0	0	0	0	0	1
"ENSG00000033800"	0	0	0	0	0	1
"ENSG00000034053"	1	0	0	0	0	0
"ENSG00000034510"	18	8	6	12	11	12
"ENSG00000035141"	1	0	0	0	0	0
"ENSG00000035664"	0	1	0	0	0	0
"ENSG00000035681"	0	0	1	0	0	0
"ENSG00000035687"	0	0	1	1	0	0
"ENSG00000035862"	0	0	0	1	0	0
"ENSG00000036257"	0	0	1	1	0	0
"ENSG00000037637"	0	0	1	0	0	0
"ENSG00000038219"	0	0	0	1	0	0
"ENSG00000038274"	0	0	2	0	0	0
"ENSG00000038945"	0	1	1	0	0	0
"ENSG00000040633"	1	0	0	1	0	0
"ENSG00000041880"	0	1	1	0	0	0
"ENSG00000042493"	1	1	1	0	3	1
"ENSG00000042753"	1	3	1	0	1	0
"ENSG00000043093"	0	0	1	0	0	0
"ENSG00000043462"	1	0	0	0	0	0
"ENSG00000043514"	0	0	1	0	0	0
"ENSG00000044115"	0	0	0	1	0	0
"ENSG00000044574"	0	1	1	1	0	0
"ENSG00000047315"	2	1	0	0	0	0
"ENSG00000047346"	0	1	0	0	0	0
"ENSG00000048162"	0	0	0	0	0	1
"ENSG00000048471"	0	0	0	0	1	0
"ENSG00000049656"	1	0	0	0	0	1
"ENSG00000049768"	0	0	0	1	0	0
"ENSG00000049860"	1	3	0	1	0	0
"ENSG00000050165"	1	0	0	0	0	0
"ENSG00000051009"	0	0	0	0	0	1
"ENSG00000051108"	0	2	0	0	0	1
"ENSG00000051523"	0	4	1	2	0	2
"ENSG00000053254"	1	0	0	0	0	0
"ENSG00000053371"	0	0	0	0	0	1
"ENSG00000053770"	0	0	0	0	0	1
"ENSG00000054148"	0	0	0	3	0	2
"ENSG00000054267"	1	0	0	0	1	0
"ENSG00000054277"	0	0	0	0	1	0
"ENSG00000054282"	0	0	0	0	1	0
"ENSG00000055070"	1	0	0	0	0	0
"ENSG00000055130"	0	1	1	0	0	0
"ENSG00000055163"	0	0	0	1	0	0
"ENSG00000055211"	0	0	0	0	1	0
"ENSG00000055483"	0	0	0	0	0	2
"ENSG00000055917"	0	0	1	0	0	0
"ENSG00000055950"	1	0	1	0	0	0
"ENSG00000056558"	1	0	0	1	0	0
"ENSG00000057252"	0	0	1	0	0	0
"ENSG00000057608"	1	1	1	0	2	1
"ENSG00000057757"	0	0	0	0	0	1
"ENSG00000058262"	0	0	0	0	0	1
"ENSG00000058272"	0	0	0	0	1	0
"ENSG00000058600"	0	0	0	0	0	1
"ENSG00000058668"	0	1	0	0	0	1
"ENSG00000059378"	0	0	0	0	1	0
"ENSG00000059691"	0	0	0	0	0	1
"ENSG00000059728"	0	0	0	1	0	0
"ENSG00000059804"	0	0	0	1	0	0
"ENSG00000060138"	0	0	1	0	0	1
"ENSG00000060558"	0	0	2	0	0	0
"ENSG00000060688"	0	0	2	0	0	0
"ENSG00000060762"	0	0	1	0	0	1
"ENSG00000061273"	0	0	0	0	0	1
"ENSG00000062194"	0	0	0	0	0	1
"ENSG00000062716"	1	0	0	1	0	0
"ENSG00000063046"	2	2	3	1	0	0
"ENSG00000063177"	10	14	9	10	12	6
"ENSG00000063245"	1	0	1	0	0	0
"ENSG00000063854"	0	0	1	0	0	0
"ENSG00000063978"	0	0	0	1	0	0
"ENSG00000064115"	0	0	1	1	0	0
"ENSG00000064419"	0	0	0	1	0	0
"ENSG00000064490"	1	0	0	0	1	0
"ENSG00000064601"	0	0	2	0	0	0
"ENSG00000064726"	0	1	0	0	0	0
"ENSG00000064932"	1	0	0	0	0	0
"ENSG00000064961"	0	1	0	0	0	0
"ENSG00000065029"	0	2	0	0	0	0
"ENSG00000065135"	0	0	2	2	0	0
"ENSG00000065491"	0	0	0	1	0	0
"ENSG00000065518"	3	0	1	0	1	1
"ENSG00000065559"	1	0	0	0	0	0
"ENSG00000065613"	0	0	0	0	0	1
"ENSG00000065675"	1	0	0	0	0	0
"ENSG00000065809"	0	0	0	2	1	0
"ENSG00000065978"	1	0	0	1	1	1
"ENSG00000066084"	0	0	0	0	1	0
"ENSG00000066322"	1	0	0	1	0	1
"ENSG00000066336"	0	1	2	0	3	4
"ENSG00000066422"	0	1	0	0	0	0
"ENSG00000066455"	0	0	0	0	0	1
"ENSG00000066583"	0	0	0	1	0	0
"ENSG00000066651"	0	0	0	1	0	0
"ENSG00000066739"	0	0	1	0	0	0
"ENSG00000066777"	0	0	1	0	0	0
"ENSG00000066855"	0	0	0	1	0	0
"ENSG00000066923"	0	1	0	1	1	0
"ENSG00000067057"	1	0	0	0	0	0
"ENSG00000067064"	0	0	1	0	0	0
"ENSG00000067066"	0	1	0	0	0	0
"ENSG00000067082"	0	0	0	0	2	0
"ENSG00000067167"	2	1	0	1	1	0
"ENSG00000067182"	1	0	0	0	0	0
"ENSG00000067208"	0	0	0	0	1	0
"ENSG00000067225"	0	2	2	1	2	0
"ENSG00000067334"	0	0	0	0	1	0
"ENSG00000067369"	0	0	0	0	1	0
"ENSG00000067533"	0	0	0	1	0	0
"ENSG00000067560"	2	5	1	1	1	1
"ENSG00000067829"	0	0	0	0	1	0
"ENSG00000068028"	0	2	0	0	0	0
"ENSG00000068079"	0	2	0	1	0	1
"ENSG00000068097"	0	0	0	0	1	0
"ENSG00000068120"	0	0	0	1	0	0
"ENSG00000068323"	0	0	1	0	0	0
"ENSG00000068366"	0	0	0	0	1	0
"ENSG00000068438"	1	0	0	0	0	0
"ENSG00000068650"	0	1	0	0	0	0
"ENSG00000068654"	0	0	0	0	0	1
"ENSG00000068697"	1	0	0	2	0	1
"ENSG00000068784"	1	0	0	0	0	0
"ENSG00000068885"	0	0	0	0	0	1
"ENSG00000069275"	0	0	1	0	0	0
"ENSG00000069329"	0	1	0	0	0	0
"ENSG00000069424"	0	2	0	3	0	1
"ENSG00000069493"	0	1	0	0	1	0
"ENSG00000069849"	0	0	0	1	0	0
"ENSG00000069974"	0	0	1	0	0	1
"ENSG00000070010"	0	0	1	0	0	0
"ENSG00000070061"	0	1	0	0	0	0
"ENSG00000070081"	0	0	1	0	2	0
"ENSG00000070501"	0	0	0	0	0	1
"ENSG00000070610"	0	1	1	0	1	0
"ENSG00000070669"	0	1	0	0	0	0
"ENSG00000070756"	5	3	7	3	1	4
"ENSG00000070785"	0	0	0	1	0	0
"ENSG00000070831"	1	1	2	1	0	0
"ENSG00000071051"	1	0	1	0	0	1
"ENSG00000071054"	0	0	0	0	0	1
"ENSG00000071082"	17	19	19	21	18	22
"ENSG00000071127"	0	1	1	0	0	2
"ENSG00000071243"	1	0	0	0	0	0
"ENSG00000071537"	1	0	0	0	0	0
"ENSG00000071553"	0	1	0	1	1	0
"ENSG00000071564"	0	0	1	0	0	0
"ENSG00000071626"	1	1	0	0	0	1
"ENSG00000071655"	0	0	2	0	0	0
"ENSG00000071894"	1	0	0	0	0	0
"ENSG00000071994"	0	0	0	1	0	0
"ENSG00000072042"	0	0	0	1	0	0
"ENSG00000072210"	0	0	1	0	0	1
"ENSG00000072401"	0	0	0	1	1	1
"ENSG00000072506"	0	0	2	0	0	0
"ENSG00000072609"	0	1	0	0	0	0
"ENSG00000072756"	0	0	0	0	1	0
"ENSG00000072786"	0	0	1	0	0	0
"ENSG00000072803"	0	0	0	1	0	0
"ENSG00000072818"	0	0	0	2	0	1
"ENSG00000072849"	0	1	0	0	0	0
"ENSG00000073050"	0	0	1	0	0	0
"ENSG00000073111"	0	0	1	0	0	0
"ENSG00000073417"	0	0	0	0	1	0
"ENSG00000073584"	0	1	0	0	0	0
"ENSG00000073737"	0	0	0	0	1	0
"ENSG00000073849"	1	0	0	0	0	1
"ENSG00000074201"	0	0	0	0	1	1
"ENSG00000074319"	0	0	1	0	1	0
"ENSG00000074370"	0	2	0	0	1	0
"ENSG00000074416"	0	0	1	0	0	0
"ENSG00000074582"	0	0	0	0	1	0
"ENSG00000074800"	1	1	2	3	0	1
"ENSG00000074842"	0	2	0	1	0	0
"ENSG00000075089"	0	0	1	0	0	0
"ENSG00000075142"	0	0	0	0	0	1
"ENSG00000075292"	1	0	0	0	0	0
"ENSG00000075415"	2	0	2	0	2	2
"ENSG00000075618"	0	0	0	0	1	1
"ENSG00000075624"	8	11	11	11	7	13
"ENSG00000075785"	1	0	0	0	0	1
"ENSG00000075790"	0	0	1	0	0	0
"ENSG00000075856"	0	0	1	0	0	0
"ENSG00000075884"	0	0	0	0	1	0
"ENSG00000075945"	0	0	0	1	0	1
"ENSG00000075975"	0	1	0	0	0	0
"ENSG00000076108"	0	0	0	1	0	0
"ENSG00000076513"	1	0	1	0	1	0
"ENSG00000076554"	1	0	0	0	0	0
"ENSG00000076662"	0	0	2	0	0	1
"ENSG00000076928"	0	1	0	0	0	0
"ENSG00000076944"	0	0	1	0	0	0
"ENSG00000076984"	0	0	0	1	0	0
"ENSG00000077147"	1	0	0	0	0	0
"ENSG00000077150"	0	1	0	0	0	0
"ENSG00000077238"	0	0	0	0	1	0
"ENSG00000077312"	0	0	0	1	0	0
"ENSG00000077348"	1	0	0	1	0	0
"ENSG00000077380"	0	0	1	1	0	0
"ENSG00000077549"	0	1	1	3	1	0
"ENSG00000077585"	1	0	0	0	0	0
"ENSG00000077684"	0	0	0	0	0	1
"ENSG00000077721"	0	0	1	0	0	0
"ENSG00000077984"	0	2	0	0	2	1
"ENSG00000078061"	1	0	0	1	0	0
"ENSG00000078081"	1	0	1	0	0	0
"ENSG00000078140"	0	1	0	0	0	0
"ENSG00000078237"	0	0	0	0	0	1
"ENSG00000078304"	0	0	0	1	0	0
"ENSG00000078369"	1	0	1	1	0	1
"ENSG00000078403"	0	0	0	0	0	1
"ENSG00000078596"	0	0	2	0	0	0
"ENSG00000078668"	0	0	1	0	1	1
"ENSG00000078674"	0	0	0	0	1	0
"ENSG00000078699"	0	0	1	0	0	0
"ENSG00000078808"	0	0	1	0	1	0
"ENSG00000079246"	0	2	0	1	0	0
"ENSG00000079277"	0	1	0	0	0	0
"ENSG00000079313"	0	1	0	0	0	0
"ENSG00000079332"	1	0	0	1	0	0
"ENSG00000079387"	0	1	0	0	0	0
"ENSG00000079459"	0	2	1	0	1	0
"ENSG00000079462"	0	0	0	0	1	1
"ENSG00000080503"	1	0	0	0	0	0
"ENSG00000080546"	0	0	0	0	0	1
"ENSG00000080608"	0	0	1	0	0	0
"ENSG00000080822"	1	1	0	0	1	0
"ENSG00000080824"	3	1	1	1	0	0
"ENSG00000080845"	1	0	0	0	0	0
"ENSG00000081059"	0	0	1	0	0	1
"ENSG00000081087"	0	0	1	0	0	0
"ENSG00000081154"	0	1	0	1	1	0
"ENSG00000081237"	2	1	0	1	2	2
"ENSG00000081320"	0	0	0	0	0	1
"ENSG00000081665"	0	0	1	0	0	0
"ENSG00000081692"	0	1	0	0	0	0
"ENSG00000081721"	0	0	0	0	0	1
"ENSG00000081791"	1	0	0	0	0	0
"ENSG00000082074"	0	0	1	0	0	0
"ENSG00000082153"	0	1	0	0	0	0
"ENSG00000082212"	1	0	0	0	0	0
"ENSG00000082397"	1	0	0	0	0	0
"ENSG00000082641"	0	0	1	0	1	2
"ENSG00000082996"	1	1	0	1	0	1
"ENSG00000083168"	0	0	0	1	0	0
"ENSG00000083457"	0	0	0	0	0	1
"ENSG00000083520"	0	0	1	0	0	0
"ENSG00000083544"	0	1	0	0	0	0
"ENSG00000083750"	0	0	0	1	0	0
"ENSG00000083814"	0	1	0	0	0	0
"ENSG00000083845"	7	4	8	6	9	6
"ENSG00000083937"	0	0	0	0	0	1
"ENSG00000084070"	1	1	0	1	0	1
"ENSG00000084072"	1	0	0	0	0	0
"ENSG00000084090"	0	0	1	1	0	0
"ENSG00000084092"	1	0	0	0	0	0
"ENSG00000084112"	0	1	0	0	0	0
"ENSG00000084207"	0	1	2	0	0	1
"ENSG00000084234"	0	1	0	0	1	0
"ENSG00000084444"	0	0	0	1	0	0
"ENSG00000084463"	0	0	0	0	0	1
"ENSG00000084623"	0	0	1	0	1	0
"ENSG00000084733"	1	0	1	0	0	0
"ENSG00000084754"	1	0	0	0	0	0
"ENSG00000085063"	0	1	2	1	0	1
"ENSG00000085265"	0	2	3	3	3	0
"ENSG00000085377"	1	0	0	0	0	0
"ENSG00000085415"	0	1	0	0	0	0
"ENSG00000085514"	1	0	0	0	0	1
"ENSG00000085662"	0	0	0	0	0	1
"ENSG00000085871"	0	0	1	0	0	0
"ENSG00000086061"	0	1	1	0	0	2
"ENSG00000086062"	0	0	0	0	0	1
"ENSG00000086065"	0	0	0	0	1	0
"ENSG00000086232"	0	1	0	0	0	0
"ENSG00000086475"	0	0	0	2	0	0
"ENSG00000086570"	1	0	0	0	0	0
"ENSG00000086589"	0	0	1	0	0	1
"ENSG00000086598"	1	1	0	0	2	1
"ENSG00000086758"	0	0	1	0	0	0
"ENSG00000087074"	0	0	1	1	0	0
"ENSG00000087086"	40	36	42	34	39	33
"ENSG00000087087"	0	1	0	0	0	0
"ENSG00000087088"	0	0	1	2	3	1
"ENSG00000087191"	1	0	1	0	1	0
"ENSG00000087253"	0	1	0	0	0	1
"ENSG00000087274"	0	0	0	0	0	1
"ENSG00000087302"	1	0	0	2	0	0
"ENSG00000087338"	1	0	0	0	0	0
"ENSG00000087365"	1	0	0	1	0	0
"ENSG00000087460"	0	4	5	1	2	0
"ENSG00000088179"	1	0	0	0	0	0
"ENSG00000088205"	0	2	0	0	0	0
"ENSG00000088682"	2	0	0	0	0	0
"ENSG00000088827"	0	0	0	1	0	0
"ENSG00000088832"	2	0	0	0	0	0
"ENSG00000088888"	0	0	0	1	0	0
"ENSG00000088986"	1	1	0	1	0	2
"ENSG00000089009"	5	5	9	4	5	9
"ENSG00000089063"	0	1	1	0	1	0
"ENSG00000089094"	1	0	0	0	0	0
"ENSG00000089154"	0	0	0	1	0	0
"ENSG00000089157"	7	10	9	5	5	7
"ENSG00000089159"	1	0	0	0	0	0
"ENSG00000089220"	0	1	0	1	2	1
"ENSG00000089234"	0	0	0	1	0	0
"ENSG00000089289"	0	1	0	0	0	0
"ENSG00000089327"	0	1	1	3	2	1
"ENSG00000089597"	0	0	1	0	0	1
"ENSG00000089693"	0	0	0	0	1	0
"ENSG00000089737"	0	1	0	0	0	0
"ENSG00000089818"	0	1	0	0	0	0
"ENSG00000089876"	0	0	1	0	0	0
"ENSG00000090013"	0	0	0	0	3	1
"ENSG00000090054"	0	0	0	0	0	1
"ENSG00000090060"	0	1	0	0	1	0
"ENSG00000090238"	0	0	1	1	0	1
"ENSG00000090263"	0	1	0	0	0	0
"ENSG00000090266"	2	0	2	0	0	1
"ENSG00000090273"	0	0	0	0	1	0
"ENSG00000090316"	0	0	0	0	0	1
"ENSG00000090339"	0	0	0	1	0	0
"ENSG00000090372"	0	0	0	0	1	0
"ENSG00000090382"	10	10	8	8	11	12
"ENSG00000090487"	0	0	0	0	1	0
"ENSG00000090520"	0	0	0	0	1	1
"ENSG00000090554"	0	0	0	1	0	0
"ENSG00000090581"	0	0	0	0	1	0
"ENSG00000090621"	0	0	0	0	0	1
"ENSG00000090659"	0	1	0	0	0	0
"ENSG00000090674"	0	1	0	0	0	0
"ENSG00000090686"	0	0	1	0	0	0
"ENSG00000090857"	0	0	0	1	0	0
"ENSG00000090863"	0	0	2	0	0	0
"ENSG00000091073"	1	0	0	1	0	0
"ENSG00000091164"	1	1	0	0	0	1
"ENSG00000091490"	1	0	0	0	0	1
"ENSG00000091536"	0	1	0	0	0	0
"ENSG00000091640"	0	1	0	0	0	0
"ENSG00000091732"	0	0	0	0	1	0
"ENSG00000092010"	5	0	1	2	0	0
"ENSG00000092036"	0	1	0	0	0	0
"ENSG00000092051"	0	0	0	0	0	1
"ENSG00000092098"	0	0	0	1	0	0
"ENSG00000092108"	0	1	0	0	0	0
"ENSG00000092199"	0	0	1	0	2	3
"ENSG00000092201"	0	0	0	0	2	0
"ENSG00000092203"	0	1	0	0	0	0
"ENSG00000092330"	0	1	0	0	0	1
"ENSG00000092531"	0	0	1	0	0	0
"ENSG00000092841"	2	1	4	4	3	2
"ENSG00000092931"	0	0	0	1	0	1
"ENSG00000093000"	0	2	0	0	0	1
"ENSG00000093010"	1	0	0	2	0	0
"ENSG00000093072"	0	0	0	1	0	0
"ENSG00000094631"	1	0	0	0	0	0
"ENSG00000094914"	1	0	0	0	0	0
"ENSG00000094916"	0	0	1	0	0	0
"ENSG00000094975"	1	0	0	0	0	0
"ENSG00000095059"	0	0	0	1	0	0
"ENSG00000095370"	0	0	0	0	0	2
"ENSG00000095380"	0	0	0	1	0	0
"ENSG00000095383"	0	1	0	0	0	0
"ENSG00000095787"	1	0	0	0	0	0
"ENSG00000095794"	1	0	0	0	1	0
"ENSG00000095906"	0	0	0	0	1	1
"ENSG00000095970"	0	1	0	0	0	1
"ENSG00000096060"	1	0	0	0	0	0
"ENSG00000096080"	0	0	1	0	0	0
"ENSG00000096384"	0	0	3	1	0	2
"ENSG00000096433"	1	1	0	0	0	0
"ENSG00000096717"	0	1	0	0	0	0
"ENSG00000096746"	1	0	0	0	0	1
"ENSG00000099204"	0	0	0	0	1	0
"ENSG00000099246"	0	0	1	0	1	0
"ENSG00000099250"	0	0	0	1	0	0
"ENSG00000099330"	0	0	1	0	0	0
"ENSG00000099331"	0	0	0	0	0	2
"ENSG00000099337"	0	0	0	0	1	0
"ENSG00000099338"	0	0	1	0	0	0
"ENSG00000099341"	0	0	0	0	1	1
"ENSG00000099385"	0	1	0	1	0	0
"ENSG00000099622"	2	1	1	0	0	2
"ENSG00000099624"	0	1	0	0	0	1
"ENSG00000099783"	1	1	0	1	0	0
"ENSG00000099785"	0	1	0	0	0	0
"ENSG00000099795"	1	0	0	0	1	0
"ENSG00000099797"	0	1	1	1	1	0
"ENSG00000099800"	1	0	2	0	0	1
"ENSG00000099804"	0	0	0	1	0	0
"ENSG00000099817"	0	0	1	0	0	0
"ENSG00000099860"	0	0	1	0	2	0
"ENSG00000099875"	2	0	0	0	2	0
"ENSG00000099917"	1	0	0	0	0	1
"ENSG00000099940"	0	1	0	1	0	0
"ENSG00000099942"	0	0	1	0	0	0
"ENSG00000099949"	1	0	0	0	0	0
"ENSG00000099968"	0	0	0	0	1	0
"ENSG00000099977"	0	0	1	0	0	0
"ENSG00000099985"	1	0	0	0	0	0
"ENSG00000099991"	1	0	0	0	0	0
"ENSG00000099992"	0	0	1	0	0	0
"ENSG00000099995"	0	0	0	0	0	1
"ENSG00000100028"	1	1	1	0	0	1
"ENSG00000100029"	0	0	2	0	0	0
"ENSG00000100056"	0	0	1	0	0	0
"ENSG00000100060"	0	1	1	0	0	0
"ENSG00000100075"	0	0	1	0	0	1
"ENSG00000100077"	0	0	0	1	0	0
"ENSG00000100092"	1	0	0	0	0	0
"ENSG00000100097"	0	0	2	2	0	1
"ENSG00000100100"	2	1	0	2	1	1
"ENSG00000100105"	0	1	0	0	1	0
"ENSG00000100124"	0	0	0	0	1	0
"ENSG00000100129"	1	2	0	0	0	0
"ENSG00000100138"	3	1	0	0	0	1
"ENSG00000100151"	0	1	0	0	0	0
"ENSG00000100201"	0	0	0	0	0	1
"ENSG00000100211"	0	0	1	0	0	0
"ENSG00000100219"	1	3	0	0	0	1
"ENSG00000100225"	0	0	0	0	1	0
"ENSG00000100226"	0	1	0	0	0	0
"ENSG00000100239"	1	0	0	0	0	0
"ENSG00000100241"	0	0	1	0	0	0
"ENSG00000100242"	0	1	1	0	1	0
"ENSG00000100243"	0	1	1	0	0	0
"ENSG00000100246"	0	0	0	0	0	1
"ENSG00000100266"	0	1	0	0	0	0
"ENSG00000100284"	0	0	0	0	1	0
"ENSG00000100288"	0	0	0	0	0	1
"ENSG00000100290"	0	0	1	0	0	0
"ENSG00000100292"	0	0	0	0	1	0
"ENSG00000100294"	0	0	0	0	0	1
"ENSG00000100296"	1	0	0	0	0	0
"ENSG00000100297"	0	0	0	0	0	1
"ENSG00000100300"	1	0	0	1	0	1
"ENSG00000100307"	1	1	0	0	0	1
"ENSG00000100316"	11	9	11	14	13	9
"ENSG00000100319"	0	0	0	0	1	0
"ENSG00000100324"	0	0	0	0	2	0
"ENSG00000100325"	0	0	1	0	1	0
"ENSG00000100330"	0	0	0	0	0	1
"ENSG00000100335"	0	0	1	0	0	0
"ENSG00000100336"	1	0	0	0	0	0
"ENSG00000100345"	0	3	4	0	1	0
"ENSG00000100353"	2	0	0	1	0	1
"ENSG00000100359"	1	1	0	0	0	0
"ENSG00000100364"	1	0	0	0	0	1
"ENSG00000100365"	0	1	0	0	0	1
"ENSG00000100368"	0	1	0	0	0	0
"ENSG00000100376"	0	0	1	0	0	0
"ENSG00000100380"	1	0	0	0	1	0
"ENSG00000100387"	2	1	1	0	0	2
"ENSG00000100393"	0	0	0	0	0	1
"ENSG00000100401"	1	0	0	0	0	0
"ENSG00000100410"	0	0	0	0	0	1
"ENSG00000100412"	0	1	0	0	0	0
"ENSG00000100416"	0	0	0	0	1	0
"ENSG00000100418"	0	0	0	1	0	0
"ENSG00000100439"	0	0	0	1	0	0
"ENSG00000100442"	0	1	0	0	0	0
"ENSG00000100445"	0	0	0	0	1	1
"ENSG00000100450"	0	0	0	0	0	1
"ENSG00000100453"	1	0	2	0	0	0
"ENSG00000100461"	0	0	1	0	0	0
"ENSG00000100462"	1	0	0	0	1	0
"ENSG00000100485"	0	0	1	0	0	0
"ENSG00000100503"	0	0	0	0	1	0
"ENSG00000100519"	0	0	0	2	1	0
"ENSG00000100528"	1	0	0	0	1	0
